2026-06-12 03:59:29.051 | INFO     | __main__:_build_index_if_needed:39 - index exists, skipping build
2026-06-12 04:10:53.103 | INFO     | src.pipeline:run_eval:49 - [8/39] What is the torque and horsepower range of Warner Electric's basic clutches and 
2026-06-12 04:11:07.086 | DEBUG    | src.retriever:_hyde_query:40 - hyde: Warner Electric's basic clutches and brakes for packaging machinery are availabl...
2026-06-12 04:11:36.936 | INFO     | src.pipeline:run_eval:80 -   composite=0.841
2026-06-12 04:11:36.939 | INFO     | src.pipeline:run_eval:49 - [9/39] A packaging customer runs unwind and rewind tension control with flying splices.
2026-06-12 04:11:50.886 | DEBUG    | src.retriever:_hyde_query:40 - hyde: Based on the application, the recommended pitch is 1.5 mm. This pitch ensures op...
2026-06-12 04:12:44.837 | INFO     | src.pipeline:run_eval:80 -   composite=0.5231
2026-06-12 04:12:44.838 | INFO     | src.pipeline:run_eval:49 - [10/39] What does Warner Electric offer for palletizing in packaging lines?
2026-06-12 04:12:58.774 | DEBUG    | src.retriever:_hyde_query:40 - hyde: Warner Electric offers a range of palletizing systems designed for integration i...
2026-06-12 04:14:00.619 | INFO     | src.pipeline:run_eval:80 -   composite=0.4414
2026-06-12 04:14:00.620 | INFO     | src.pipeline:run_eval:49 - [11/39] How should I introduce NSK to a machine tools customer? Give me the background.
2026-06-12 04:14:14.427 | DEBUG    | src.retriever:_hyde_query:40 - hyde: NSK is a Japanese manufacturer of precision bearings and related components. Fou...
2026-06-12 04:15:36.709 | INFO     | src.pipeline:run_eval:80 -   composite=0.4519
2026-06-12 04:15:36.710 | INFO     | src.pipeline:run_eval:49 - [12/39] What are the rail width and load capacity ranges of the NSK Square Type Roller L
2026-06-12 04:15:50.531 | DEBUG    | src.retriever:_hyde_query:40 - hyde: The NSK Square Type Roller Linear Guide has a rail width range of 10 to 60 mm an...
2026-06-12 04:16:18.968 | INFO     | src.pipeline:run_eval:80 -   composite=0.6601
2026-06-12 04:16:18.970 | INFO     | src.pipeline:run_eval:49 - [13/39] Brief me on the NSK SPACEA Series before I meet a pharmaceutical customer.
2026-06-12 04:16:33.078 | DEBUG    | src.retriever:_hyde_query:40 - hyde: The NSK SPACEA Series is a line of high-precision linear guides designed for app...
2026-06-12 04:17:21.196 | INFO     | src.pipeline:run_eval:80 -   composite=0.5629
2026-06-12 04:17:21.201 | INFO     | src.pipeline:run_eval:49 - [14/39] What is the operating temperature range of NSK Grease LR3?
2026-06-12 04:17:35.190 | DEBUG    | src.retriever:_hyde_query:40 - hyde: The operating temperature range of NSK Grease LR3 is from -20°C to +130°C, as sp...
2026-06-12 04:17:54.434 | INFO     | src.pipeline:run_eval:80 -   composite=0.5658
2026-06-12 04:17:54.435 | INFO     | src.pipeline:run_eval:49 - [15/39] What are the body diameter and mass of the NSK Hand Grease Pump, and how many no
2026-06-12 04:18:08.211 | DEBUG    | src.retriever:_hyde_query:40 - hyde: The body diameter is 1.5 inches, mass is 1.2 kg, and it includes 2 nozzles.
The ...
2026-06-12 04:18:29.155 | INFO     | src.pipeline:run_eval:80 -   composite=0.6104
2026-06-12 04:18:29.156 | INFO     | src.pipeline:run_eval:49 - [16/39] Which industries and applications use the NSK Ball Linear Guide?
2026-06-12 04:18:42.778 | DEBUG    | src.retriever:_hyde_query:40 - hyde: The NSK Ball Linear Guide is used in industries such as machine tools, automatio...
2026-06-12 04:19:30.089 | INFO     | src.pipeline:run_eval:80 -   composite=0.4601
2026-06-12 04:19:30.091 | INFO     | src.pipeline:run_eval:49 - [17/39] Give me Winkel's company background for a heavy material handling customer.
2026-06-12 04:19:43.882 | DEBUG    | src.retriever:_hyde_query:40 - hyde: Winkel is a family-owned business established in 1950, specializing in the desig...
2026-06-12 04:20:15.078 | INFO     | src.pipeline:run_eval:80 -   composite=0.7625
2026-06-12 04:20:15.082 | INFO     | src.pipeline:run_eval:49 - [18/39] What is the working temperature and load capacity of WINKEL Combined Bearings (a
2026-06-12 04:20:29.586 | DEBUG    | src.retriever:_hyde_query:40 - hyde: The working temperature of WINKEL Combined Bearings (axial bearing fixed) is up ...
2026-06-12 04:21:20.378 | INFO     | src.pipeline:run_eval:80 -   composite=0.6018
2026-06-12 04:21:20.380 | INFO     | src.pipeline:run_eval:49 - [19/39] What material and standard lengths does the Winkel Standard U Profile come in?
2026-06-12 04:21:34.481 | DEBUG    | src.retriever:_hyde_query:40 - hyde: The Winkel Standard U Profile is available in steel, with standard lengths of 1....
2026-06-12 04:21:55.359 | INFO     | src.pipeline:run_eval:80 -   composite=0.6244
2026-06-12 04:21:55.362 | INFO     | src.pipeline:run_eval:49 - [20/39] Which industries and machines does Winkel serve that I can reference in a steel 
2026-06-12 04:22:08.863 | DEBUG    | src.retriever:_hyde_query:40 - hyde: Winkel serves the steel and metal processing industries, providing solutions for...
2026-06-12 04:23:35.660 | INFO     | src.pipeline:run_eval:80 -   composite=0.3767
2026-06-12 04:23:35.663 | INFO     | src.pipeline:run_eval:49 - [21/39] Before recommending a WINKEL combined bearing, what should I ask the customer ab
2026-06-12 04:23:49.891 | DEBUG    | src.retriever:_hyde_query:40 - hyde: Based on engineering documentation, before recommending a WINKEL combined bearin...
2026-06-12 04:24:14.411 | INFO     | src.pipeline:run_eval:80 -   composite=0.4097
2026-06-12 04:24:14.413 | INFO     | src.pipeline:run_eval:49 - [22/39] How do I introduce Ewellix to a customer looking for linear motion solutions?
2026-06-12 04:24:28.423 | DEBUG    | src.retriever:_hyde_query:40 - hyde: Ewellix is a leading provider of linear motion solutions, offering a wide range ...
2026-06-12 04:25:43.621 | INFO     | src.pipeline:run_eval:80 -   composite=0.4436
2026-06-12 04:25:43.624 | INFO     | src.pipeline:run_eval:49 - [23/39] What are the load, stroke, and temperature ratings of the Ewellix CAHB series li
2026-06-12 04:25:57.496 | DEBUG    | src.retriever:_hyde_query:40 - hyde: The Ewellix CAHB series linear actuator has a load rating of up to 1000 N, a str...
2026-06-12 04:26:30.563 | INFO     | src.pipeline:run_eval:80 -   composite=0.7077
2026-06-12 04:26:30.565 | INFO     | src.pipeline:run_eval:49 - [24/39] What stroke and load capacity does the Ewellix CASM-100 high-performance actuato
2026-06-12 04:26:44.115 | DEBUG    | src.retriever:_hyde_query:40 - hyde: The Ewellix CASM-100 high-performance actuator offers a 1.5-inch stroke and a lo...
2026-06-12 04:27:24.072 | INFO     | src.pipeline:run_eval:80 -   composite=0.6247
2026-06-12 04:27:24.075 | INFO     | src.pipeline:run_eval:49 - [25/39] Brief me on Ewellix planetary roller screws before I meet a servo press customer
2026-06-12 04:27:38.258 | DEBUG    | src.retriever:_hyde_query:40 - hyde: Ewellix planetary roller screws are high-precision, high-torque transmission com...
2026-06-12 04:28:28.571 | INFO     | src.pipeline:run_eval:80 -   composite=0.5555
2026-06-12 04:28:28.575 | INFO     | src.pipeline:run_eval:49 - [26/39] I'm visiting a medical equipment customer. What Ewellix products can I pitch and
2026-06-12 04:28:42.712 | DEBUG    | src.retriever:_hyde_query:40 - hyde: Ewellix offers a range of medical equipment solutions, including [Product A], [P...
2026-06-12 04:29:56.079 | INFO     | src.pipeline:run_eval:80 -   composite=0.5323
2026-06-12 04:29:56.081 | INFO     | src.pipeline:run_eval:49 - [27/39] What is the push load and stroke of the Ewellix THG lifting column, and what is 
2026-06-12 04:30:09.990 | DEBUG    | src.retriever:_hyde_query:40 - hyde: The Ewellix THG lifting column has a push load of 100 kN and a stroke of 100 mm....
2026-06-12 04:31:01.721 | INFO     | src.pipeline:run_eval:80 -   composite=0.6924
2026-06-12 04:31:01.725 | INFO     | src.pipeline:run_eval:49 - [28/39] Give me the background on LinMot and its maker for a customer introduction.
2026-06-12 04:31:15.438 | DEBUG    | src.retriever:_hyde_query:40 - hyde: LinMot is a manufacturer of high-precision linear motors and motion systems, fou...
2026-06-12 04:31:49.167 | INFO     | src.pipeline:run_eval:80 -   composite=0.6466
2026-06-12 04:31:49.170 | INFO     | src.pipeline:run_eval:49 - [29/39] What is the maximum stroke, force, and peak velocity of the LinMot P10 series li
2026-06-12 04:32:03.110 | DEBUG    | src.retriever:_hyde_query:40 - hyde: The LinMot P10 series linear motor has a maximum stroke of 1000 mm, a force of 1...
2026-06-12 04:32:23.971 | INFO     | src.pipeline:run_eval:80 -   composite=0.331
2026-06-12 04:32:23.976 | INFO     | src.pipeline:run_eval:49 - [30/39] Brief me on the LinMot stainless steel linear motor for a food hygiene customer.
2026-06-12 04:32:37.836 | DEBUG    | src.retriever:_hyde_query:40 - hyde: The LinMot stainless steel linear motor is designed for high hygiene environment...
2026-06-12 04:33:31.193 | INFO     | src.pipeline:run_eval:80 -   composite=0.6958
2026-06-12 04:33:31.196 | INFO     | src.pipeline:run_eval:49 - [31/39] A customer works in oil and gas with explosive atmospheres. Which LinMot motor s
2026-06-12 04:33:44.989 | DEBUG    | src.retriever:_hyde_query:40 - hyde: Based on the engineering documentation, the [Motor Type] is suitable for explosi...
2026-06-12 04:34:38.922 | INFO     | src.pipeline:run_eval:80 -   composite=0.5558
2026-06-12 04:34:38.927 | INFO     | src.pipeline:run_eval:49 - [32/39] Which industries and applications does the LinMot P10 series serve that I can re
2026-06-12 04:34:52.592 | DEBUG    | src.retriever:_hyde_query:40 - hyde: The LinMot P10 series is designed for high-precision motion control in industrie...
2026-06-12 04:35:46.073 | INFO     | src.pipeline:run_eval:80 -   composite=0.4228
2026-06-12 04:35:46.076 | INFO     | src.pipeline:run_eval:49 - [33/39] What are the benefits of Warner Electric Clutch/Brake Modules (EM, UM, EUM) for 
2026-06-12 04:35:59.818 | DEBUG    | src.retriever:_hyde_query:40 - hyde: Warner Electric Clutch/Brake Modules (EM, UM, EUM) offer benefits in food lines ...
2026-06-12 04:36:50.875 | INFO     | src.pipeline:run_eval:80 -   composite=0.6947
2026-06-12 04:36:50.877 | INFO     | src.pipeline:run_eval:49 - [34/39] A meat and poultry processor uses caustic washdown. What should I pitch?
2026-06-12 04:37:04.833 | DEBUG    | src.retriever:_hyde_query:40 - hyde: Based on the engineering documentation, the recommended pitch for a caustic wash...
2026-06-12 04:38:05.380 | INFO     | src.pipeline:run_eval:80 -   composite=0.6221
2026-06-12 04:38:05.387 | INFO     | src.pipeline:run_eval:49 - [35/39] Which crane and hoist machine types can I target with Warner Electric ERD brakes
2026-06-12 04:38:19.353 | DEBUG    | src.retriever:_hyde_query:40 - hyde: Warner Electric ERD brakes are compatible with a variety of crane and hoist mach...
2026-06-12 04:39:15.870 | INFO     | src.pipeline:run_eval:80 -   composite=0.5874
2026-06-12 04:39:15.873 | INFO     | src.pipeline:run_eval:49 - [36/39] What braking solution suits indoor and outdoor heavy duty steel mill cranes?
2026-06-12 04:39:29.513 | DEBUG    | src.retriever:_hyde_query:40 - hyde: The braking solution for indoor and outdoor heavy duty steel mill cranes should ...
2026-06-12 04:40:24.557 | INFO     | src.pipeline:run_eval:80 -   composite=0.7291
2026-06-12 04:40:24.560 | INFO     | src.pipeline:run_eval:49 - [37/39] Which packaging machinery applications does Warner Electric serve?
2026-06-12 04:40:38.441 | DEBUG    | src.retriever:_hyde_query:40 - hyde: Warner Electric serves packaging machinery applications in the food, pharmaceuti...
2026-06-12 04:41:36.259 | INFO     | src.pipeline:run_eval:80 -   composite=0.3978
2026-06-12 04:41:36.265 | INFO     | src.pipeline:run_eval:49 - [38/39] What does Warner Electric recommend for indexing and positioning functions in pa
2026-06-12 04:41:49.958 | DEBUG    | src.retriever:_hyde_query:40 - hyde: Warner Electric recommends the use of their ___________ for indexing and positio...
2026-06-12 04:42:40.444 | INFO     | src.pipeline:run_eval:80 -   composite=0.4658
2026-06-12 04:42:40.447 | INFO     | src.pipeline:run_eval:49 - [39/39] What is the unit price of the WINKEL Heavy Duty Bearing?
2026-06-12 04:42:54.076 | DEBUG    | src.retriever:_hyde_query:40 - hyde: The WINKEL Heavy Duty Bearing has a unit price of $12.50. This price is subject ...
2026-06-12 04:43:11.942 | INFO     | src.pipeline:run_eval:80 -   composite=0.4847
2026-06-12 04:43:11.947 | INFO     | __main__:_eval_model:79 - avg_composite=0.5644
2026-06-12 04:43:13.397 | INFO     | src.generator:delete_model_cache:199 - cleared cache: /content/hf_cache/hub/models--Qwen--Qwen3-8B
2026-06-12 04:43:13.398 | INFO     | __main__:main:120 - results:
2026-06-12 04:43:13.398 | INFO     | __main__:main:125 -   Qwen/Qwen3-8B: 0.5644 (39 Qs)
